Food,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Zinc (mg),Vitamin B12 (mcg),Vitamin C (%DV),Vitamin B6 (%DV),Magnesium (%DV)
Black Bean Veggie Burger,71,120,4.5,0.5,0,0,220,15,4,2,1,9,0,60,1.5,260,0,0,0,0,0
Green Veggie Burger,71,120,6,0.5,0,0,290,14,4,2,0,2,0,60,1.1,180,0,0,0,0,0
veggieburger2,85,230,14,2,0,0,450,11,6,1,0,21,0,110,2.9,670,0,0,0,0
salmon,100,206,13,2.2,0,55,55,0,0,0,0,22,4.9,0,0,360,0,4.9,0,0
cod,100,82,0.9,0.2,0,41,0,0,0,0,0,18,0,0.3,0,0,0.3,1.1,0,0
apple,182,95,0.3,0.1,0,0,2,25,4.4,19,0,0.5,0,1,1,195,0,0,14,5,2
banana,118,105,0.4,0.1,0,0,1,27,3.1,14,0,1.3,0,0,1,422,0,0,17,20,8
Chicken,100,165,3.6,1,0,85,74,0,0,0,0,31,0,15,0.4,256,0.9,0.3,0,10,7
Onions,100,40,0.1,0,0,0,4,9,1.7,4.2,0,1.1,0,23,0.1,146,0.2,0,10,5,3
Barbecuechips,28,160,10,3,0,0,180,15,1,0,0,2,0,20,0.5,180,0.3,0,0,2,2
Spanrice,100,190,5,1,0,5,600,35,2,2,0,4,0,30,1.2,150,0.5,0,0,4,4
Avocado,200,90,8,1,0,0,220,5,4,0,0,1,0,10,0.2,270,0,0,0,0
White Bread,28,75,1,0.2,0,0,130,15,0.6,1.5,1,2.5,0,30,0.5,35,0.3,0,0,0,2
Mango,165,99,0.6,0.2,0,0,2,25,2.8,22.5,0,1.4,0,20,0.3,257,0.1,0,60,10,5
Cherry Cake,113,320,12,6,0,0,360,51,4,21,21,3,0,20,1.2,150,0.3,0,2,0,4
Cherry Pie,114,430,18,9,0,0,470,65,1,30,28,3,0,20,1.5,200,0.4,0,4,0,5
Chicken Patty,85,250,15,3,0,40,600,12,1,0,0,15,0,20,1.2,250,0.5,0.3,0,0,4
Cheese Curls,28,160,10,3,0,0,270,16,0,3,0,1,0,0,0,0,0,0,0,0,0
Potatoes,150,110,0,0,0,0,10,26,1,0,0,3,0,2,0.8,620,1.1,0.2,0,0,8
ChipsJC,42,230,13,1.5,0,0,330,23,2,1,0,3,0,30,0.4,180,0.3,0,0,0,2
PlainChips,28,160,10,1.5,0,0,170,15,1,0,0,2,0,10,0.2,350,0.1,0,0,0,2
Breakfast S,150,470,32,12,1,245,920,29,2,5,3,20,1.5,200,2.5,290,1.4,2.4,0,0,15,10
Tasty Cakes,57,220,7,2,0,50,150,39,0.9,26,26,2,0,20,1.2,40,0,0,0,0,0
Chocolate Cake,80,270,10,3,0,10,300,42,3,30,30,2,0,31,2.2,123,0,0,0,0,0'
Pistachios,123,691,56,7,0,0,1,34,13,9,0,25,0,120,4.7,1261,0,0,11,104,37
Mayo,14,94,10,1.5,0,5,88,0.1,0,0.1,0,0.1,0,4,0,3,0,0,0,0,0
Tater Tots,85,160,8,1.5,0,0,420,20,2,0,0,2,0,10,0.7,340,0.3,0,10,10,6
Mustard,5,3,0.2,0,0,0,55,0.3,0.2,0.2,0,0.2,0,5,0.1,8,0,0,0,2,1
Yogurt,245,149,8,5,0,31,113,11,0,11,0,8.5,2.2,296,0.2,379,1.4,1.4,0,5,8
Turkey Lunch Meat,56,60,1,0.3,0,20,500,1,0,1,0,12,0,10,0.3,200,0.5,0.3,0,0,4
Salmon,100,206,13,3.1,0,63,59,0,0,0,0,22,10.9,12,0.8,490,0.6,3.2,0,30,9
Quinoa,185,222,3.6,0.4,0,0,13,39,5.2,1.6,0,8.1,0,31,2.8,318,1.1,0,0,15,
Spinach,30,7,0.1,0,0,0,24,1.1,0.1,0,0,0.9,0,30,0.8,167,0.2,0,47,13,6
Egg Yolk,17,55,4.5,1.6,0,184,8,0.6,0,0,0,2.7,0.9,22,0.4,66,0.4,0.3,0,0,1
Egg White,33,16,0,0,0,0,55,0.2,0,0,0,3.6,0,2,0.1,54,0,0,0,0,1
Beef Burger,113,290,23,9,1,80,75,0,0,0,0,20,0,18,2.6,270,5.4,2.5,0,15,10
French Fries,117,365,17,2,0,0,246,48,4,0,0,4,0,10,1.7,579,0.4,0,10,15,14
Cheese Curls,28,160,10,3,0,0,270,16,0,3,0,1,0,20,0.2,50,0.2,0,0,0,2
